term,label
symbolic reproduction,1
organic mechanical ocean,0
environmental plant,0
environmental communication,1
cellular movement,1
rapid exercise,1
rapid robotic dance,1
rapid illumination,1
hydraulic melting,1
linguistic computer,0
symbolic exercise,1
urban breathing,1
social rotation,1
plastic soil,0
mechanical healing,1
political breathing,1
cosmic conversation,1
linguistic river,0
marine eating,1
mechanical robotic speaking,1
lunar subterranean city,0
blue plastic table,0
magnetic rotation,1
tropical collapse,1
musical cultural house,0
robotic cellular reproduction,1
ancient vocal mountain,0
robotic book,0
biological charging,1
vocal cloud,0
neural cellular erosion,1
digital road,0
collision,1
robotic table,0
chemical radiant valve,0
electronic symbolic furniture,0
chemical political brain,0
structural communication,1
industrial robotic explosion,1
thermal island,0
linguistic planet,0
radiant cloud,0
planet,0
subterranean forest,0
social city,0
symbolic eating,1
musical leaf,0
geological chair,0
subterranean aerial evaporation,1
artificial rapid helmet,0
rapid helmet,0
cellular singing,1
social valve,0
artificial meeting,1
genetic illumination,1
solar competition,1
mechanical mechanical house,0
decay,1
blue industrial construction,1
atomic painting,0
symbolic thermal measurement,1
cosmic tool,0
biological forest,0
cultural coin,0
artificial island,0
symbolic erosion,1
digital birth,1
vocal robotic eating,1
political erosion,1
river,0
ancient transport,1
cosmic organism,0
plastic rock,0
hydraulic industrial training,1
ancient helmet,0
cosmic furniture,0
lunar tool,0
chemical migration,1
ancient bird,0
rural war,1
blue construction,1
artificial forest,0
subterranean atom,0
neural plant,0
linguistic desk,0
structural mountain range,0
magnetic wheel,0
social blue communication,1
magnetic falling,1
robotic coin,0
lunar communication,1
symbolic flight,1
running,1
translation,1
neural vocal falling,1
industrial muscle,0
artificial lunar conversation,1
neural musical meeting,1
tropical organism,0
industrial vocal evaporation,1
magnetic muscle,0
genetic war,1
geological illumination,1
social sleeping,1
electronic thermal breathing,1
social dance,1
tropical genetic meeting,1
artificial mechanical measurement,1
hydraulic genetic construction,1
tropical artificial illumination,1
symbolic blue soil,0
radiant migration,1
cellular robotic meeting,1
structural symbolic birth,1
solar speaking,1
ancient person,0
solar structural tree,0
radiant tropical running,1
plastic breathing,1
vocal reading,1
organic sleep,1
organic infection,1
industrial fish,0
tropical political bridge,0
chemical war,1
subterranean social rock,0
robotic training,1
rural translation,1
mechanical industrial bird,0
environmental person,0
symbolic birth,1
artificial electron,0
marine blue cooking,1
atomic communication,1
solar metal,0
chemical symbolic skull,0
geological industrial dance,1
growth,1
plastic heart,0
artificial infection,1
geological linguistic tool,0
rural heart,0
urban hydraulic city,0
rapid singing,1
mechanical electron,0
solar collision,1
biological electronic mountain,0
biological sleeping,1
industrial rural sleep,1
digital valve,0
organic electron,0
environmental transport,1
artificial evaporation,1
tropical hydraulic explosion,1
tropical healing,1
vocal organism,0
robotic illumination,1
digital magnetic atom,0
urban thermal computation,1
cellular growth,1
atomic storm,1
hydraulic furniture,0
robotic engine,0
geological running,1
magnetic statue,0
environmental walking,1
tropical transport,1
industrial running,1
lunar chair,0
neural brain,0
linguistic lunar plant,0
blue environmental decision,1
cosmic tree,0
mirror,0
industrial mountain range,0
chemical rotation,1
marine lunar digestion,1
hydraulic political dance,1
geological furniture,0
industrial metal,0
chemical bone,0
robotic coat,0
solar neural movement,1
subterranean muscle,0
electronic table,0
digital ship,0
lunar brain,0
industrial table,0
structural speaking,1
urban transport,1
robotic competition,1
hydraulic meeting,1
musical computer,0
mechanical structural tree,0
social guitar,0
cloud,0
electronic bone,0
environmental movement,1
genetic charging,1
rural atom,0
urban fish,0
blue soil,0
hydraulic reaction,1
migration,1
robotic plant,0
digital wheel,0
urban decay,1
biological river,0
vocal eating,1
infection,1
genetic evaporation,1
genetic mechanical river,0
mechanical knife,0
plastic pipe,0
political painting,0
industrial cell,0
magnetic electron,0
magnetic marine communication,1
political cultural dance,1
musical movement,1
thermal computation,1
industrial industrial talking,1
blue house,0
electronic building,0
linguistic helmet,0
genetic soil,0
digital bottle,0
hydraulic biological person,0
mechanical machine,0
symbolic robotic healing,1
musical computation,1
digital running,1
artificial robotic computation,1
magnetic neural furniture,0
blue training,1
symbolic blue decision,1
vocal thermal bird,0
marine radiant computer,0
electronic translation,1
person,0
thermal symbolic infection,1
rural cosmic storm,1
cellular healing,1
social erosion,1
magnetic cultural person,0
geological collision,1
transport,1
mechanical aerial computer,0
industrial soil,0
chemical atomic oxidation,1
environmental geological metal,0
cosmic bird,0
structural shoe,0
electronic river,0
tropical desk,0
linguistic ocean,0
hydraulic oxidation,1
magnetic genetic competition,1
ancient decay,1
chemical illumination,1
cultural competition,1
city,0
radiant sleeping,1
political ocean,0
ancient electron,0
musical vocal knife,0
chemical mirror,0
aerial measurement,1
musical thinking,1
environmental island,0
rural glove,0
vocal reaction,1
leaf,0
vocal decision,1
vocal running,1
cultural illumination,1
robotic singing,1
artificial planet,0
marine car,0
mechanical river,0
tropical coat,0
social meeting,1
social blue muscle,0
radiant collapse,1
rock,0
cosmic planet,0
robotic furniture,0
digital vocal organism,0
building,0
neural bridge,0
subterranean tissue,0
musical organism,0
urban bottle,0
urban reaction,1
symbolic training,1
cellular dance,1
solar sleep,1
artificial muscle,0
magnetic eating,1
genetic mirror,0
digital structural flight,1
robotic artificial illumination,1
magnetic bird,0
blue structural illumination,1
social musical illumination,1
linguistic robotic helmet,0
plastic exercise,1
atomic exercise,1
atom,0
ancient fish,0
magnetic rock,0
biological shoe,0
lunar tissue,0
chemical desk,0
genetic collapse,1
car,0
artificial explosion,1
metal,0
electronic ship,0
radiant writing,1
magnetic atomic electron,0
symbolic metal,0
subterranean running,1
biological walking,1
lunar cellular shoe,0
robotic tool,0
tropical erosion,1
biological house,0
linguistic vocal collapse,1
biological sleep,1
social reaction,1
industrial skull,0
lunar decision,1
industrial measurement,1
blue bird,0
flower,0
urban melting,1
vocal cooking,1
vocal digestion,1
tropical sand,0
electronic walking,1
genetic cultural evaporation,1
blue migration,1
ocean,0
rural evaporation,1
artificial car,0
radiant island,0
thermal ancient evaporation,1
cellular pipe,0
subterranean melting,1
cultural digital coat,0
thermal competition,1
tropical neural soil,0
biological machine,0
geological breathing,1
subterranean charging,1
neural computation,1
environmental evaporation,1
subterranean bottle,0
furniture,0
rapid industrial translation,1
solar tree,0
thermal melting,1
solar rapid falling,1
cultural rural valve,0
neural biological war,1
artificial sand,0
marine rock,0
artificial digital digestion,1
ancient competition,1
industrial cellular measurement,1
rural eating,1
cosmic urban oxidation,1
rapid plastic glove,0
marine tree,0
lunar leaf,0
atomic reaction,1
rapid transport,1
chemical sleeping,1
musical planet,0
radiant plastic reading,1
cultural metal,0
digital healing,1
marine forest,0
biological tree,0
rapid geological mountain range,0
musical book,0
ancient geological war,1
political thermal rotation,1
symbolic geological training,1
political musical tree,0
reaction,1
cosmic car,0
genetic sleep,1
magnetic cloud,0
industrial computation,1
thermal protein,0
digital meeting,1
tissue,0
blue solar planet,0
electronic cloud,0
chemical musical speaking,1
structural computer,0
plastic magnetic war,1
plastic robotic cloud,0
robotic infection,1
electronic tool,0
storm,1
thermal infection,1
tropical knife,0
